Year,Savanna fires,Forest fires,Rice Cultivation,Drained organic soils (CO2),Pesticides Manufacturing,Food Transport,Food Household Consumption,Food Retail,On-farm Electricity Use,Food Packaging,Agrifood Systems Waste Disposal,Food Processing,Fertilizers Manufacturing,IPPU,Manure left on Pasture,Fires in organic soils,Fires in humid tropical forests,TemperatureDeviation
1990,265533.1965,203871.7269,929823.91912981,752445.9744,55011.031459504215,317837.86455228255,543237.6491,273178.60082514037,219106.92202450367,230026.56200686228,1127062.9944761684,692307.8950956715,557482.1646060928,1922974.2497,682638.3951793615,264122.1697474645,146384.394,0.44
1991,265533.1965,203871.7269,930480.1423974689,752445.9744,54433.9368407837,326979.00093780423,562803.3241,279894.5190924531,227965.29356806347,244003.0192141244,1151531.9976345636,714757.8128024184,564503.7207995319,1959440.9581,698464.2380730668,264122.1697474645,146384.394,0.43
1992,265533.1965,203871.7267,939513.1732857153,752445.9743,57481.69990184454,329402.51398602186,605152.1640999999,259087.0554220744,306512.1527883117,240885.98006184938,1172247.554483941,651289.8025966388,516099.2860247611,2004423.3875,706086.4424200241,264122.1697474645,146384.394,0.23
1993,265533.1964,203871.7267,924193.3935576653,752878.5072,57749.542893167476,331280.76860850136,634222.0539,244135.5645829322,300704.6555053693,242966.19047788208,1193446.2417026658,681259.4955401442,511923.2149228163,2074678.3313,707511.7782057031,264122.1697474645,146384.394,0.24
1994,265533.1964,203871.7267,927782.2027630303,752547.1298999999,62186.03469583417,330295.75334448175,640391.0842,268669.1406129697,315222.3189033904,255454.1010153416,1212280.9814624258,673057.2147799934,528775.3297720387,2186139.967,718543.2761938977,264122.1697474645,146384.394,0.32
1995,265533.1964,203871.7267,933802.0637258294,758039.1725999999,63948.60144314361,332849.46950039204,681635.4491,257884.06429558783,326780.2482371639,291863.9562748014,1237993.015702011,765566.2623106698,555065.8698783963,2313792.9362999997,726982.2055095646,264122.1697474645,146384.394,0.46
1996,244594.5738,183710.054,941701.8571478591,757144.8,67085.5572681012,342974.32913247234,728055.7382,272053.14094290225,343121.4437271451,297397.4775459057,1257142.1397783328,733468.7622824033,563352.9436199822,2380431.7036,737597.7386095646,77276.38744746448,112873.8837,0.35
1997,235599.9088,257645.379,950298.125678934,758480.1308,67192.11136990513,354774.86549685587,729011.4762,291374.83571850887,338115.623943373,295978.6559720037,1260665.2192086908,734220.096737613,562818.8902160806,2499934.989,727733.2678095646,1001193.7789474645,188412.59900000002,0.48
1998,279330.1943,316956.1569,940894.5340916868,762035.0899,68492.09730387629,366297.8629649944,735470.3055,275508.39940221026,334528.3563395541,283074.4944389066,1298985.348572798,759474.1139609432,582759.782438883,2527478.4289,733147.2596095647,250266.10194746449,209365.84410000002,0.64
1999,285014.4256,249655.2145,969954.3104180252,767409.7841,69454.83235325775,375462.3610708581,752987.1619,302357.43268482835,330917.7620568485,266594.9239774536,1307910.3138790373,713830.8317397488,595722.9233852264,2670982.8778,742692.1062238856,113794.68484746446,153690.5263,0.42
