Year,Savanna fires,Forest fires,Rice Cultivation,Drained organic soils (CO2),Pesticides Manufacturing,Food Transport,Food Household Consumption,Food Retail,On-farm Electricity Use,Food Packaging,Agrifood Systems Waste Disposal,Food Processing,Fertilizers Manufacturing,IPPU,Manure left on Pasture,Fires in organic soils,Fires in humid tropical forests,TemperatureDeviation
1990,-0.18645798896134536,-0.01493826584860997,-1.0565540264098412,-1.1989613181606225,-1.8217867353729935,-1.3325954886957951,-1.4663302327678651,-0.883109880095639,-2.43547924504757,-1.3380021735403782,-2.06638839512823,-1.112215676069025,-0.9897934216655435,-1.2486858765533675,-1.7664697329688146,-0.09035549595547973,-0.027696032930149547,0.44
1991,-0.18645798896134536,-0.01493826584860997,-1.0263039227570627,-1.1989613181606225,-1.876528945969872,-1.2127046408199746,-1.3925578793575162,-0.8403249463617088,-2.2682850474789555,-1.1908815810317162,-1.8243710130774766,-0.9615268825043795,-0.9250653997598095,-1.2222841748052995,-1.4666089614717484,-0.09035549595547973,-0.027696032930149547,0.43
1992,-0.18645798896134536,-0.014938271507369524,-0.6099058245259463,-1.1989613223332967,-1.5874233436548013,-1.1809189828957445,-1.2328816304676455,-0.97288253846959,-0.7857801610800561,-1.2236925173194273,-1.6194781204673512,-1.387538149573893,-1.371280345296189,-1.1897171366208956,-1.3221869492390865,-0.09035549595547973,-0.027696032930149547,0.23
1993,-0.18645799224246457,-0.014938271507369524,-1.3161059054290285,-1.1809131234315926,-1.5620162146290515,-1.1562846781748992,-1.1232736468981797,-1.0681336298787363,-0.8953917125180162,-1.201795567011419,-1.4098066945258205,-1.186374967946618,-1.4097773414491446,-1.1388529332442376,-1.2951803442066245,-0.09035549595547973,-0.027696032930149547,0.24
1994,-0.18645799224246457,-0.014938271507369524,-1.1506715848210063,-1.1947404263301946,-1.1411781740467934,-1.1692036753535193,-1.1000133257750522,-0.9118381862890848,-0.6213832144021233,-1.0703438857862517,-1.2235165388232412,-1.241430483444306,-1.2544265859944406,-1.0581553054291863,-1.086160608592791,-0.09035549595547973,-0.027696032930149547,0.32
1995,-0.18645799224246457,-0.014938271507369524,-0.8731724056931142,-0.965575248314247,-0.9739841005927876,-1.1357103346731208,-0.9445014988849403,-0.9805464041660719,-0.4032371690468774,-0.6870822766752488,-0.9692046171817268,-0.6204893758507278,-1.012067967899496,-0.9657352387276392,-0.9262636683665247,-0.09035549595547973,-0.027696032930149547,0.46
1996,-0.8734791258702627,-0.5853885344890905,-0.5090134652391365,-1.0028945240896447,-0.6764178249209307,-1.0029174351123622,-0.769473856194577,-0.8902798194196656,-0.09481106004656083,-0.6288346881775609,-0.7798049572316896,-0.8359348674057847,-0.9356738074168061,-0.9174891277868032,-0.7251254435908486,-0.9128580005268774,-1.332186814612813,0.35
1997,-1.1686047921068892,1.5065224997520816,-0.11274892097845411,-0.9471754888949298,-0.6663102846810913,-0.8481471472129051,-0.7658702472465749,-0.767187578314663,-0.1892916333444091,-0.643769651131411,-0.744958974541971,-0.8308917450167405,-0.9405969639755868,-0.8309693886198583,-0.9120328863327958,3.154262804510543,1.608369950617981,0.48
1998,0.2662379333203908,3.1846495755232036,-0.5462288572163371,-0.7988385440654752,-0.5429958376876187,-0.6970169290144136,-0.7415172393520496,-0.868267490154937,-0.25699824573192237,-0.7796029214962568,-0.3659432325228469,-0.6613812177286716,-0.7567723995829388,-0.8110280855173375,-0.8094510669042376,-0.15135045301965686,2.4240338970809936,0.64
1999,0.4527443289955601,1.2804504119787194,0.7933476090895425,-0.5745699393941587,-0.45167243401581997,-0.576819679796187,-0.6754699539412918,-0.6972210205443794,-0.3251451292617372,-0.9530720728429556,-0.2776684170623434,-0.9677489836192075,-0.6372720426782872,-0.7071316324067339,-0.6285997158062299,-0.7521030147602913,0.25671569789043286,0.42
